über	svern
hinter	ghent
luft	thrae
und	vur
tier	baeshra
rüstung	litrix
pfeil	svent
asche	vignar
axt	garurt
tasche	waeth
kampf	vargach
schön	vorel
bronze	aujir
bevor	ghoros
dahinter	zara
drunter	vhir
daneben	unsinti
gross	turalisj
schwarz	vutha
bluten	valeij
blut	iejir
blau	ulhar
verbeugen	vaex
verbrennen	valignat
mut	sveargith
brüten	maurg
bestechen	durah
aber	shar
höhle	waere
celestial	athear
jahrzehnt	ierikc
kleriker	sunathaer
kralle	gix
kupfer	rach
kuh	rhyvos
dummkopf	faessi
verkrüppelt	thurgix
tanz	vaeri
tanzen	vaeri
gefahr	korth
dunkelsicht	sverak
tag	kear
tot	loex
gott	urathear
dämon	kothar
sterben	loreat
köpfen	gixustrat
drache	darastrix
zwerg	tundar
erde	edar
elf	vaecaesin
verzaubert	levex
feind	irlym
böse	malsvir
auge	sauriv
fern	karif
weit	karif
schiksal	haurach
wenig	lauth
wenige	lauth
feuer	ixen
fliehen	osvith
flieh	osvith
flieht	osvith
fliegen	austrat
flug	austrat
fliegen	austrat
essen	achthend
für	ihk
wald	caesin
wälder	caesin
festung	hurthi
freund	thurirl
edelstein	kethend
geben	majak
gnome	terunt
geh	gethrisj
geht	gethrisj
gehen	gethrisj
gold	aurix
gut	bensvelk
grün	achuak
halbling	rauhiss
hammer	jhank
hass	dartak
hassen	dartak
heilen	irisv
heilt	irisv
heim	okarthel
zuhaus	okarthel
zuhause	okarthel
mensch	munthrek
wenn	sjek
in	persvek
eisen	usk
töten	svent
führer	maekrix
magie	arcaniss
mann	sthyr
männer	sthyr
viele	throden
viel	throden
fleisch	rhyaex
berg	verthicha
berge	verthicha
name	ominak
nah	leirith
nahe	leirith
nacht	thurkear
nein	thric
oger	ghontix
frieden	martivir
rauben	thadarsh
platin	ux
regen	oposs
rot	charir
ausruhen	ssifisv
ruhen	ssifisv
schriftrolle	sjir
rolle	sjir
geheimnis	irthos
geheimnisse	irthos
sehen	ocuir
sieh	ocuir
seht	ocuir
schatten	sjach
silber	orn
haut	molik
schuppe	molik
schuppen	molik
schlachten	kurik
klein	kosj
schlau	othokent
so	zyak
musik	miirik
hexer	vorastrix
sprechen	renthisj
sprecht	renthisj
sprach	renthisj
speer	ner
stern	isk
stahl	vyth
stein	ternesj
steine	ternesj
stop	pok
sturm	kepesk
stark	versvesh
stärker	versvesh
dumm	pothoc
schwert	caex
nimm	clax
sprich	ukris
dieb	virlym
durch	erekess
morgen	earenk
reise	ossalur
reisen	ossalur
schatz	rasvim
schätze	rasvim
zahn	oth
zähne	oth
hässlich	nurh
untot	kaegro
untote	kaegro
unter	onureth
tal	arux
sieg	vivex
haben	tuor
krieg	aryte
wasser	hesjing
wir	yth
wohlstand	noach
waffe	laraek
weiss	aussir
mit	mrith
magier	levethix
frau	aesthyr
holz	grovisv
jahr	eorikc
gelb	yrev
ja	axun
noch	sjerit
du	wux
