File_type:	TLK 
File_version:	V3.0
Language_ID:	0
String_count:	51
[0]Text:	Bad Strref
[1]Text:	Bad Strref
[2]Text:	EMPTY
[3]Text:	EMPTY
[4]Text:	Reiten
[5]Text:	Bezugsattribut: Geschicklichkeit%0aUnge%fcbte Anwendung: Nein%0aKlassen: Alle au%dfer M%f6nch%0a%0aErm%f6glicht das Reiten von Pferden und Ponys.%0a%0aSchild/beidh%e4ndigen Waffen k%f6nnen nur von erfahrenen Reitern auf dem Pferd gef%fchrt werden.%0aBei wenigen Fertigkeitspunkten besteht die M%f6glichkeit vom Pferd zu fallen, der Reiter nimmt dabei Schaden.%0aEhrfahrene Reiter k%f6nnen schneller reiten.%0aFertigkeitspunkte auf Gef%fchl f%fcr Tiere erm%f6glicht einen Bonus auf Reiten.%0a%0aNicht anwendbar von Charakteren mit einem Level in der Klasse M%f6nch.%0aNicht anwendbar von dicken Humanoiden.
[6]Text:	Mittelgro%dfer Gegenstand 2
[7]Text:	Rucksack
[8]Text:	Sai
[9]Text:	Nunchaku
[10]Text:	W%e4hrung
[11]Text:	Preiserh%f6hung
[12]Text:	Leichte kleine Zutat
[13]Text:	Explosive Runen
[14]Text:	Grad: MAG/HXM 3%0aKalkulationsgrad: 3%0aSchule: Abwendung%0aKategorie:%a0 %0aKomponenten: V, G%a0 %0aReichweite: Ber%fchrung%a0 %0aWirkungsbereich/Ziel: 1 Gegenstand%0aWirkungsdauer: Permanent%0aGegenzauber:%a0 %0aRettungswurf: Speziell%0aZauberresistenz: Nein%0a%0aExplosive Runen laden ein beliebiges, lesbares Pergament oder Buch mit unsichtbaren, magischen Runen auf.   Werden sie gelesen, so verursachen sie 6w6 magischen Feuerschaden bei allen im Umkreis von 10 Metern.%0aExplosive Runen koennen mit "Magie Bannen" von einem Pergament entfernt werden.%0a%0aReflex-Rettungswurf: Halber Schaden fuer alle im Umkreis von 10 Metern.  Kein Rettungswurf fuer den Lesenden.
[15]Text:	Tanzende Lichter
[16]Text:	Tanzende Lichter%a0 %0a%a0 %0aGrad: BAR 0, MAG/HXM 0%a0 %0aKalkulationsgrad: 0%a0 %0aSchule: Hervorrufung%a0 %0aKategorie:%a0Licht%a0 %0aKomponenten: V, G%a0 %a0 %0aWirkungsbereich/Ziel: Ein tanzendes Licht%a0 %0aWirkungsdauer: 1 Stunde/Stufe%0aRettungswurf: Keiner%a0 %0aZauberresistenz: Nein%a0 %0a%a0 %0a%0aDer Zauber erschafft ein Tanzendes Licht, das sich vollstaendig in die mentale Kontrolle des Ziels begibt.  Das Ziel muss einen Intelligenzwert von 3 oder groesser haben, und Bewusstsein aufweisen.
[17]Text:	Sepia-Schlangensiegel
[18]Text:	Sepia-Schlangensiegel%0a%a0 %0aGrad: BAR 3, MAG/HXM 3%0aKalkulationsgrad: 3%0aSchule: Beschw%f6rung%0aKategorie:%a0Kraft%0aKomponenten: V, G%0aReichweite: Ber%fchrung%0aWirkungsbereich/Ziel: 1 ber%fchrtes Schriftst%fcck%0aWirkungsdauer: Permanent oder bis zur Ausl%f6sung; bis zur Ausl%f6sung oder 1W4 Tage + 1 Tag/Stufe; siehe Text%0aRettungswurf: Reflex%0aZauberresistenz: Nein%0a%0aWenn Sepia-Schlangensiegel gewirkt wird, erscheint ein kleines Symbol im Text eines Schriftst%fcckes, wie etwa eines Buches, einer Schriftrolle oder Karte. Der Text, der das Siegel beinhalten soll, muss mindestens 25 Worte lang sein. Wenn jemand den Text, der das Symbol beinhaltet, liest, erwacht das Sepia-Schlangensiegel zum Leben und attackiert den lesenden, vorrausgesetzt es gibt eine gerade Verbindung zwischen dem Symbol und dem Leser.%a0 %0a%0aDem Ziel ist ein Rettungswurf erlaubt, um dem Angriff der Schlange auszuweichen. Wenn dieser gelingt, vergeht die Schlange in einem Blitz aus braunem Licht begleitet von einer Freisetzung von nebelartigem Rauch und lautem L%e4rm. Wenn der Rettungswurf fehlschl%e4gt, so wird das Ziel von einer schimmernden bernsteinfarbenen Kraftfeld umgeben und ist f%fcr die Dauer von 1W4 +1/Stufe Tagen gefangen.%0a%0aW%e4hrend es im Kraftfeld gefangen ist altert das Opfer nicht, atmet nicht, leidet keinen Hunger, schl%e4ft nicht und erlangt keine Zauber zur%fcck. Es ist in einem Zustand der ausgesetzen Bewegung gefangen, sich seinem Umfeld nicht bewusst.%a0 Es kann von %e4u%dferen Einfl%fcssen verwundet (und m%f6glicherweise get%f6tet) werden, da das Feld keinerlei Schutz gegen k%f6rperlichen Schaden gew%e4hrt. %0a%0aDas versteckte Siegel kann durch normale Wahrnehmung nicht entdeckt werden, und "Magie Lesen" offenbart nur, das der gesamte Text magisch ist.%a0 %0a%0a"Magie bannen" kann das Siegel entfernen.%0a%0aSepia-Schlangensiegel kann in Kombination mit anderen Zaubern gewirkt werden, die Texte verbergen oder verschl%fcsseln, so wie "Geheime Seite".
[19]Text:	Explosive Runen
[20]Text:	Sepia-Schlangensiegel
[21]Text:	unused
[22]Text:	Andere Sch%fctzen
